Team,Median of Non-Penalty Goals,Mean of Non-Penalty Goals,Std of Non-Penalty Goals,Median of Penalty Goals,Mean of Penalty Goals,Std of Penalty Goals,Median of Assists,Mean of Assists,Std of Assists,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Saves,Mean of Saves,Std of Saves,Median of Save%,Mean of Save%,Std of Save%,Median of Sh_x,Mean of Sh_x,Std of Sh_x,Median of SoTA,Mean of SoTA,Std of SoTA,Median of Total Passes,Mean of Total Passes,Std of Total Passes,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of Tkl,Mean of Tkl,Std of Tkl,Median of Int,Mean of Int,Std of Int,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Starts_x,Mean of Starts_x,Std of Starts_x,Median of Yellow Cards,Mean of Yellow Cards,Std of Yellow Cards,Median of Red Cards,Mean of Red Cards,Std of Red Cards
Crystal Palace,0.0,1.5135135135135136,3.61802295322875,0.0,1.4054054054054055,3.261385692713549,0.0,1.162162162162162,1.8931677379683194,0.0,1.054054054054054,4.358554461859688,0.0,2.6486486486486487,11.39009368856263,0.0,3.4864864864864864,14.7922870698468,5.0,12.216216216216216,19.704955855958808,0.0,4.162162162162162,17.673761961219853,334.0,452.81081081081084,538.6485577524261,74.0,51.86216216216216,37.082335951766034,0.3,1.327027027027027,2.5830267182178015,0.2,1.045945945945946,1.5756118026190817,10.0,21.2972972972973,25.572190694911864,2.0,8.72972972972973,11.344721358530702,0.0,0.11428571428571428,0.6761234037828133,0.0,1.027027027027027,4.361998054450164,1.0,1.972972972972973,2.5439086995156632,0.0,0.05405405405405406,0.2292434351351256
Fulham,0.5,1.588235294117647,2.3370228024823887,0.5,1.5294117647058822,2.2993450202789574,0.0,1.1764705882352942,1.9613011796484887,0.0,1.1176470588235294,6.516946235415337,0.0,3.911764705882353,22.80931182395368,0.0,2.1205882352941177,12.365047988774883,5.0,14.676470588235293,19.859690540839164,0.0,5.588235294117647,32.58473117707667,434.5,595.2058823529412,637.7624607390951,73.95,56.69411764705882,35.39094166913568,0.5,1.5382352941176471,2.1706045388718604,0.25,1.1176470588235294,1.718609478131789,12.5,19.970588235294116,30.699408042972888,4.0,10.911764705882353,16.981929160244576,0.0,0.0,0.0,0.0,1.1176470588235294,6.516946235415337,2.0,2.4411764705882355,2.8197482852476146,0.0,0.11764705882352941,0.3270349700838643
Liverpool,0.0,2.1052631578947367,3.950979855778581,0.0,1.9473684210526316,3.440202448639392,0.0,1.5789473684210527,2.532294963257407,0.0,1.0,4.78172195603894,0.0,2.8421052631578947,13.633278671690519,0.0,3.8026315789473686,16.351948174570538,4.0,20.55263157894737,31.035025869579393,0.0,3.8684210526315788,18.567875560896848,496.5,641.5526315789474,730.326461521348,78.35,64.60263157894737,34.56609404825036,0.3,2.376315789473684,4.702928024719271,0.1,1.6973684210526316,2.6976953970365214,14.5,17.81578947368421,21.150497103809748,2.5,7.684210526315789,10.493512186514812,0.0,24.324324324324323,147.95908857482152,0.0,1.0,4.78172195603894,1.0,1.8157894736842106,2.608253668208681,0.0,0.13157894736842105,0.3425699874501045
Luton Town,0.0,1.2894736842105263,2.535242349275318,0.0,1.1578947368421053,2.1120800019332,0.0,0.868421052631579,1.7269102643641996,0.0,1.0263157894736843,6.16216372189344,0.0,3.736842105263158,22.704546765179728,0.0,4.2973684210526315,18.963072034766224,5.0,11.236842105263158,16.565079209519002,0.0,5.868421052631579,35.84363266808974,232.5,397.3421052631579,454.76214610561334,70.30000000000001,54.376315789473686,33.87391114604297,0.25,1.1500000000000001,2.1853010182902812,0.3,0.7921052631578948,1.3051626343616003,10.5,17.210526315789473,19.091752704692322,4.5,8.552631578947368,12.279839263894456,0.0,0.40540540540540543,2.46598480958036,0.0,1.0,6.164414002968976,1.0,1.868421052631579,2.094665717142436,0.0,0.0,0.0
Tottenham,0.0,1.9166666666666667,3.588672655533161,0.0,1.8611111111111112,3.356467341696179,0.0,1.6111111111111112,2.9206435472612418,0.0,1.0555555555555556,6.333333333333334,0.0,3.0277777777777777,18.166666666666664,0.0,1.8805555555555555,11.28333333333333,5.0,16.166666666666668,22.554695424994893,0.0,4.638888888888889,27.83333333333333,376.5,672.1388888888889,755.0363530615227,81.7,66.73888888888888,34.51222787673773,0.5,1.916666666666667,3.108467697849123,0.4,1.6,2.867552465580559,6.0,20.11111111111111,25.79897869271769,3.0,9.86111111111111,12.67202267714822,0.0,0.0,0.0,0.0,1.0555555555555556,6.333333333333334,1.5,2.5555555555555554,2.842980774212109,0.0,0.1111111111111111,0.3984095364447979
Chelsea,0.0,1.5833333333333333,3.95632181065994,0.0,1.3541666666666667,3.056138457188016,0.0,1.0625,2.1967698724127716,0.0,0.8125,4.003489169701211,0.0,2.6041666666666665,12.805815805317375,0.0,2.8375,13.761086439667473,0.0,11.1875,21.266951936769196,0.0,3.875,19.033704707534394,114.0,486.75,696.8889682313483,76.35,51.552083333333336,41.009308697205505,0.0,1.5833333333333333,3.872452262433031,0.0,1.0833333333333333,2.088095266976972,2.0,13.8125,22.358449542789117,0.0,6.208333333333333,10.542635492160741,0.0,0.0,0.0,0.0,0.7916666666666666,3.8864649656311085,0.0,2.25,3.251840722591804,0.0,0.08333333333333333,0.34722813233740846
Newcastle Utd,1.0,2.3714285714285714,4.236297733563466,1.0,2.142857142857143,3.4653143235995976,0.0,1.5714285714285714,2.8105443714457787,0.0,1.1142857142857143,4.574683715016479,0.0,3.8,16.12779843478152,0.0,5.317142857142858,18.07280188756649,6.0,15.485714285714286,20.77098007907615,0.0,5.571428571428571,23.77997886790447,460.0,567.2,649.6912751000866,81.0,72.44285714285714,25.87766792968392,0.7,2.22,4.051927645832145,0.6,1.4857142857142855,2.2016227781213695,7.0,18.885714285714286,22.68942670129886,5.0,8.142857142857142,11.029753496106517,0.0,2.727272727272727,15.666989036012806,0.0,1.0857142857142856,4.4349642121470625,1.0,2.257142857142857,2.790138697194072,0.0,0.02857142857142857,0.16903085094570333
Nott'ham Forest,0.0,1.1951219512195121,2.758799668289834,0.0,1.170731707317073,2.728575077072191,0.0,1.048780487804878,2.1325011079973106,0.0,0.926829268292683,3.6564343553688956,0.0,2.3902439024390243,9.830763064941825,0.0,4.265853658536585,15.495896388336133,5.0,10.975609756097562,16.279569719249412,0.0,3.975609756097561,15.777337869358774,274.0,382.2682926829268,387.54438612823714,73.7,60.96097560975611,31.451986249271922,0.2,1.229268292682927,2.3732092093238455,0.2,0.9292682926829267,1.6978285988931605,8.0,17.75609756097561,20.935353457494905,2.0,8.073170731707316,10.29900539834415,0.0,11.538461538461538,72.0576692122892,0.0,0.926829268292683,3.6564343553688956,1.0,2.0,2.3345235059857505,0.0,0.07317073170731707,0.2636516548818748
Manchester City,0.5,3.1333333333333333,6.106713848133749,0.5,2.8333333333333335,5.139994185783197,0.0,2.3,3.465594440725315,0.0,1.4,6.190092194734288,0.0,2.533333333333333,10.737409092653055,0.0,4.826666666666667,18.373893273418904,7.0,22.766666666666666,32.61127722581332,0.0,3.6333333333333333,15.599476855360233,574.0,925.2666666666667,996.646132106917,85.75,69.63333333333335,35.827164932861166,0.9,2.733333333333333,5.806674716597083,0.8,2.0233333333333334,2.9759592291114028,8.5,17.233333333333334,20.37524416326449,3.0,7.766666666666667,9.817940416553183,0.0,21.896551724137932,117.91653974242794,0.0,1.2666666666666666,6.062509627910354,0.5,1.7666666666666666,2.402345597081338,0.0,0.06666666666666667,0.2537081317024624
Aston Villa,0.0,1.8461538461538463,3.7664618434034036,0.0,1.7435897435897436,3.6180683179807773,0.0,1.4102564102564104,2.9533027784066883,0.0,1.0,5.482028053462274,0.0,2.948717948717949,15.46294163807663,0.0,3.282051282051282,14.310078741091827,2.0,13.102564102564102,21.814764280660537,0.0,4.435897435897436,22.77440261137476,121.0,496.4871794871795,645.1721872082666,79.5,63.17948717948718,35.831323987224685,0.1,1.6717948717948714,3.1873061318090774,0.0,1.264102564102564,2.321352507243996,6.0,14.025641025641026,19.246991808000022,1.0,6.051282051282051,8.562306372605082,0.0,10.657894736842104,65.69967555795883,0.0,0.9743589743589743,5.465139182930197,1.0,2.41025641025641,3.126440288873599,0.0,0.05128205128205128,0.22345586503095893
